ID,ModelName
253,World\Azeroth\Elwynn\PassiveDoodads\Detail\ElwynnFlower02.mdx
254,World\Generic\Human\Passive Doodads\Books\BookMediumOpen01.mdx
255,World\Goober\G_Book01.mdx
256,World\Generic\NightElf\Passive Doodads\Pottery\ElvenPottery01.mdx
257,World\Generic\NightElf\Passive Doodads\Pottery\ElvenPottery02.mdx
258,World\Generic\Orc\Passive Doodads\Jars\JarOrc06.mdx
259,World\SkillActivated\Containers\TreasureChest01.mdx
260,World\Generic\PassiveDoodads\ParticleEmitters\OrangeGroundFog.mdx
261,World\Generic\ActiveDoodads\Clam\GiantClamActive.mdx
263,World\Generic\PassiveDoodads\ParticleEmitters\AuraBlueShort.mdx
264,World\Generic\PassiveDoodads\ParticleEmitters\AuraRed.mdx
265,World\Generic\PassiveDoodads\ParticleEmitters\AuraPurpleTall.mdx
266,World\Generic\PassiveDoodads\ParticleEmitters\AuraYellowVeryTall.mdx
267,World\Azeroth\Elwynn\PassiveDoodads\Detail\ElwynnSeaWeed01\ElwynnSeaWeed01.mdx
268,World\SkillActivated\TradeskillNodes\Bush_Magebloom01.mdx
269,World\SkillActivated\TradeskillNodes\Bush_Peacebloom01.mdx
270,World\SkillActivated\TradeskillNodes\Bush_Silverleaf01.mdx
271,World\SkillActivated\TradeskillNodes\Bush_Thornroot01.mdx
272,World\SkillActivated\TradeskillNodes\Bush_Swiftthistle01.mdx
273,World\SkillActivated\TradeskillEnablers\Tradeskill_Anvil_01.mdx
274,World\SkillActivated\TradeskillEnablers\Tradeskill_Anvil_02.mdx
275,World\Generic\PassiveDoodads\Crate01\Crate01.mdx
276,World\KhazModan\Wetlands\PassiveDoodads\DragonEggs\DragonEgg01.mdx
277,World\KhazModan\Wetlands\PassiveDoodads\DragonEggs\DragonEgg02.mdx
278,World\Azeroth\Elwynn\PassiveDoodads\Skeleton\BattleGladebonesHumanDark.mdx
279,World\Azeroth\Westfall\PassiveDoodads\Barrel\WestFallBarrel01.mdx
280,World\Azeroth\Elwynn\PassiveDoodads\Bush\ElwynnBush01.mdx
281,World\Azeroth\Elwynn\PassiveDoodads\Bush\ElwynnBush05.mdx
282,World\Azeroth\Elwynn\PassiveDoodads\Bush\ElwynnBush09.mdx
283,World\Azeroth\Elwynn\PassiveDoodads\Bush\ElwynnBush08.mdx
284,World\Azeroth\Elwynn\PassiveDoodads\Bush\ElwynnBush07.mdx
285,World\Generic\Human\Passive Doodads\Crates\ReplaceCrate01.mdx
286,World\Generic\Human\Passive Doodads\Crates\ReplaceCrate02.mdx
287,World\Generic\Human\Passive Doodads\Crates\ReplaceCrate03.mdx
288,World\Generic\PassiveDoodads\Furniture\Containers\Barrel02.mdx
289,World\Generic\Human\Passive Doodads\firewood\FirewoodPile03.mdx
290,World\Azeroth\Stranglethorn\PassiveDoodads\GemMineCar01\GemMineCar01.mdx
291,World\Azeroth\Elwynn\PassiveDoodads\MineCart\ElwynnMineCart.mdx
292,World\Azeroth\Stranglethorn\PassiveDoodads\GemMineCar02\GemMineCar02.mdx
293,World\Generic\Troll\Passive Doodads\TrollSkullpile\TrollSkullPile.mdx
294,World\Generic\PassiveDoodads\Gallows\Gallows01.mdx
295,World\Goober\G_LeverMetal.mdx
296,World\Generic\Tauren\Passive Doodads\TaurenWaterPump\WaterPump.mdx
297,World\Azeroth\Elwynn\PassiveDoodads\Jars\Jar01.mdx
298,World\Generic\PassiveDoodads\ParticleEmitters\AuraBlueTall.mdx
299,World\Azeroth\Elwynn\PassiveDoodads\Detail\ElwynnRock1\ElwynnRock1.mdx
300,World\Azeroth\Duskwood\PassiveDoodads\Detail\DuskwoodCatails01\DuskwoodCatails01.mdx
301,World\Azeroth\Duskwood\PassiveDoodads\Detail\DuskwoodThornBush01\DuskwoodThornBush01.mdx
302,World\Generic\PassiveDoodads\PlainRune\PlainRune.mdx
303,World\Generic\Tauren\Passive Doodads\SignPosts\TaurenSignPostPointer02.mdx
304,World\SkillActivated\TradeskillEnablers\Engineering_Autolathe_01.mdx
305,World\SkillActivated\TradeskillEnablers\Tradeskill_Forge_03.mdx
307,World\Generic\Orc\Passive Doodads\FirePits\LargeFirePit01.mdx
308,World\Generic\Tauren\Passive Doodads\SignPosts\TaurenSignPostPointer01.mdx
309,World\Generic\Orc\Passive Doodads\SignPosts\orcsignpostpointer03.mdx
310,World\SkillActivated\TradeskillNodes\copper_Miningnode_01.mdx
311,World\SkillActivated\TradeskillNodes\gold_Miningnode_01.mdx
312,World\SkillActivated\TradeskillNodes\Iron_Miningnode_01.mdx
313,World\SkillActivated\TradeskillNodes\mithril_Miningnode_01.mdx
314,World\SkillActivated\TradeskillNodes\TrueSilver_Miningnode_01.mdx
315,World\SkillActivated\TradeskillNodes\tin_Miningnode_01.mdx
316,World\KhazModan\Badlands\PassiveDoodads\Rune\PentagramDirtBadlands.mdx
317,World\Generic\Dwarf\Passive Doodads\Tools\Toolbox01.mdx
318,World\Generic\Dwarf\Passive Doodads\Tools\Lunchbox01.mdx
319,World\Generic\Human\Passive Doodads\BeerKegs\BeerKeg02.mdx
320,World\SkillActivated\TradeskillNodes\Bush_Crownroyal01.mdx
321,World\Generic\Orc\Passive Doodads\RaptorEggs\WailingCavernsRaptorEggs01.mdx
322,World\Generic\QuilBoar\Passive Doodads\LeanTos\RazorFen Leanto03.mdx
323,World\Generic\Tauren\Passive Doodads\Sacks\TaurenSack02.mdx
324,World\Azeroth\BurningSteppes\PassiveDoodads\Bonfire\OrcBonFireOff.mdx
325,World\Goober\G_Torch01.mdx
327,World\Goober\G_JewelRed.mdx
328,World\Azeroth\BurningSteppes\PassiveDoodads\WarlockShrine\WarlockShrine.mdx
329,World\Kalimdor\Felwood\PassiveDoodads\FelwoodMushrooms\FelwoodMushroomAnim.mdx
330,World\Goober\G_FlyingMachine.mdx
331,WORLD\GENERIC\ORC\PASSIVE DOODADS\TABLECOOKER\ORCTABLECOOKER01FIRE.MDX
332,World\Goober\G_Watermelon.mdx
333,World\Goober\G_MineCar.mdx
334,World\Goober\G_Barrel.mdx
335,World\Goober\G_Crate01.mdx
336,World\Goober\G_Crate02.mdx
338,World\Goober\G_BookTrapArm.mdx
339,World\Goober\G_ButtonBigRed.mdx
340,World\Goober\G_DwarvenMemorial.mdx
341,World\Kalimdor\Barrens\PassiveDoodads\Mounds\BarrensTermiteMound01.mdx
342,World\Goober\G_RuneBlue01.mdx
343,World\Goober\G_RuneGroundBlue01.mdx
344,World\Goober\G_Fissure.mdx
345,World\Goober\G_AlchemySet01.mdx
346,World\Kalimdor\Barrens\PassiveDoodads\Mounds\BarrensTermiteMound04.mdx
347,World\Generic\Human\Passive Doodads\Crates\CrateGrain01.mdx
348,WORLD\GENERIC\HUMAN\PASSIVE DOODADS\STOVES\POTBELLYSTOVE.MDX
349,WORLD\GENERIC\ORC\PASSIVE DOODADS\FIREPITS\SMALLFIREPIT01.MDL
350,WORLD\GENERIC\ORC\PASSIVE DOODADS\BRAZIERS\MEDIUMBRAZIER01.MDL
351,WORLD\GENERIC\ORC\PASSIVE DOODADS\BRAZIERS\SMALLBRAZIER01.MDL
352,World\Azeroth\Duskwood\PassiveDoodads\CoffinLid\CoffinLid.mdx
353,World\Generic\Human\Passive Doodads\ValveSteam\DeadMineValveSteam02.mdx
354,World\Generic\Human\Passive Doodads\ValveSteam\DeadMineValveSteam01.mdx
355,WORLD\SKILLACTIVATED\TRADESKILLENABLERS\BLACKSMITHFORGE.MDX
356,World\Generic\Goblin\PassiveDoodads\ControlPanel\GoblinControlPanel.mdx
357,World\SkillActivated\TradeskillNodes\Bush_Gravemoss01.mdx
358,World\SkillActivated\TradeskillNodes\Bush_Bruiseweed01.mdx
359,World\SkillActivated\TradeskillNodes\Bush_Mushroom03.mdx
360,WORLD\KALIMDOR\MULGORE\PASSIVEDOODADS\THUNDERBLUFFELEVATOR\ELEVATORCAR.MDX
361,World\Azeroth\Duskwood\PassiveDoodads\Detail\DuskwoodThornBush02\DuskwoodThornBush02.mdx
362,World\Generic\NightElf\Passive Doodads\SteppingStones\SteppingStone01.mdx
363,World\Generic\PassiveDoodads\ParticleEmitters\AuraPurpleShort.mdx
364,World\Generic\Human\Passive Doodads\SpiderEggsSack\SpiderEggSack04.mdx
365,World\Kalimdor\Barrens\PassiveDoodads\LampPosts\BarrensLampPost01.mdx
366,World\Generic\Orc\Passive Doodads\LampPosts\OrcBrazierStreetLamp.mdx
367,World\Generic\PassiveDoodads\Fruits\Fruit_Banana.mdx
368,World\wmo\Kalimdor\Buildings\NightElfMoonWell\NightElfMoonWellOrnate.wmo
369,World\Azeroth\SwampOSorrow\PassiveDoodads\Plants\SwampSorrowPlant02.mdx
370,World\Azeroth\SwampOSorrow\PassiveDoodads\Plants\SwampSorrowPlant01.mdx
371,World\SkillActivated\TradeskillNodes\Bush_Steelbloom01.mdx
372,World\Generic\Orc\Passive Doodads\RaptorEggs\WailingCavernsRaptorEggs02.mdx
373,WORLD\GENERIC\ORC\PASSIVE DOODADS\BRAZIERS\MEDIUMBRAZIERNOOMNI01.MDX
374,WORLD\GENERIC\ORC\PASSIVE DOODADS\BRAZIERS\TALLBRAZIERNOOMNI01.MDX
375,WORLD\GENERIC\ORC\PASSIVE DOODADS\BRAZIERS\SMALLBRAZIERNOOMNI01.MDX
377,World\Generic\Human\Passive Doodads\PlanterBoxes\StormwindWindowPlanterEmpty.mdx
378,World\Goober\G_EggSpider.mdx
379,World\Generic\Dwarf\Passive Doodads\Museum\Fossil01.mdx
380,WORLD\GENERIC\HUMAN\PASSIVE DOODADS\CHAIRS\GENERALCHAIRLOEND01.MDL
381,World\Generic\PassiveDoodads\Fruits\FruitBowl_Mixed.mdx
382,World\Kalimdor\Kalidar\PassiveDoodads\KalidarRoots\KalidarRoots04.mdx
383,WORLD\GENERIC\HUMAN\PASSIVE DOODADS\BENCHES\STORMWINDBENCH01.MDL
384,World\SkillActivated\TradeskillNodes\Incendicite_Miningnode_01.mdx
385,World\SkillActivated\TradeskillNodes\Bush_Mushroom02.mdx
386,World\Generic\NightElf\Passive Doodads\SignPosts\NightElfSignPostPointer01.mdx
387,World\Generic\Human\Passive Doodads\Books\BookMedium04.mdx
388,World\Generic\NightElf\Passive Doodads\SignPosts\NightElfSignPostPointer02.mdx
389,World\SkillActivated\TradeskillNodes\Bush_Mushroom01.mdx
390,World\SkillActivated\TradeskillNodes\Bush_Snakebloom01.mdx
391,World\Goober\G_PulsatingPlant.mdx
392,WORLD\DUNGEON\GOLDSHIREINN\INNBEDCANOPY\INNBEDCANOPY.MDX
393,WORLD\GENERIC\HUMAN\PASSIVE DOODADS\STATUES\NORTHSHIREABBEYBUST01.MDL
394,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\DEADMINEDOOR01.MDX
395,World\Generic\Tauren\Passive Doodads\ArcheryTargets\ArcheryTargetHuman01.mdx
396,World\Generic\Human\Passive Doodads\Fire\UndeadCampFire.mdx
397,World\Generic\Human\Passive Doodads\Fire\UndeadFireSmall.mdx
398,World\Generic\Human\Passive Doodads\Fire\UndeadFireLarge.mdx
399,World\Azeroth\Duskwood\PassiveDoodads\Tombs\TombStone05.mdx
400,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\DEADMINEDOOR02.MDX
401,WORLD\GENERIC\DWARF\ACTIVE DOODADS\DOORS\DWARVENTUNNELPORTCULLIS.MDX
402,World\Generic\Murloc\Passive Doodads\Altars\MurlocAltar_01.mdx
403,World\Goober\G_NETablet.mdx
404,World\Goober\G_RelicNESphere.mdx
405,World\Goober\G_RelicNECup.mdx
406,World\Goober\G_RelicNEFigurine.mdx
407,World\Goober\G_RelicNECat.mdx
408,World\Generic\Orc\Passive Doodads\FirePits\SmallFirePit01.mdx
409,World\Generic\Orc\Passive Doodads\MeatRacks\SmokedMeatRack01.mdx
410,World\Generic\PassiveDoodads\ParticleEmitters\FlameCircle.mdx
411,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\PORTCULLISACTIVE.MDX
412,World\Generic\Orc\Passive Doodads\RaptorEggs\WailingCavernsRaptorEggs04.mdx
413,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\SHADOWFANGDOOR01.MDX
414,World\SkillActivated\TradeskillNodes\Bush_Snakeroot.mdx
415,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\SHADOWFANGDOOR02.MDX
416,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\SHADOWFANG\WIZARDSSPHERE.MDX
417,World\Goober\G_BookTrapFire.mdx
418,World\Lordaeron\Plagueland\PassiveDoodads\Haystacks\PlaguelandHayStack.mdx
419,World\Kalimdor\Ashenvale\PassiveDoodads\Bush\AshenvalePlantStardust.mdx
420,WORLD\GENERIC\HUMAN\PASSIVE DOODADS\DRAPERY\DRAPERY01.MDL
421,World\Generic\PassiveDoodads\Doors\doortest01.mdx
422,World\Generic\Human\Passive Doodads\Books\BookMedium05.mdx
423,World\Generic\Human\Passive Doodads\GunShop\GunShopDynamite.mdx
424,World\Kalimdor\Mulgore\PassiveDoodads\Pinecone\PineCone.mdx
425,World\Kalimdor\Kalidar\PassiveDoodads\FelPineCone\FelPineCone.mdx
426,World\Kalimdor\Blackfathom\PassiveDoodads\Lights\BFD_WispSmall.mdx
427,World\Kalimdor\Blackfathom\PassiveDoodads\Lights\BFD_WispMed.mdx
428,World\Kalimdor\Blackfathom\PassiveDoodads\Lights\BFD_WispLarge.mdx
429,World\Generic\Murloc\Passive Doodads\Pearl\GreatPearl_01.mdx
430,World\Goober\G_BookTrapLightGood.mdx
431,World\Generic\PassiveDoodads\ParticleEmitters\Steam02.mdx
432,World\ArtTest\Boxtest\xyz.mdx
433,World\Generic\PassiveDoodads\Fruits\Fruit_Apple.mdx
434,World\Generic\PassiveDoodads\Fruits\Fruit_Melon.mdx
435,World\Generic\PassiveDoodads\Fruits\Fruit_Orange.mdx
436,World\Generic\Human\Passive Doodads\DeadMinePowderKeg\DeadMinePowderKeg.mdx
437,World\Generic\PassiveDoodads\ParticleEmitters\Steam04.mdx
438,World\Generic\NightElf\Passive Doodads\Lanterns\NightelfLantern01.mdx
439,World\Generic\NightElf\Passive Doodads\Fountains\ElvenFountain.mdx
440,World\KhazModan\Uldaman\PassiveDoodads\Scrolls\UldamanScroll01.mdx
441,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\MONESTARYSECRETDOOR.MDX
442,WORLD\GOOBER\G_TORCHLEVER.MDX
443,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\MONESTARYBOSSDOOR.MDX
444,WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\MONESTARYHALLDOOR.MDX
445,World\Goober\G_ScryingBowl.mdx
446,World\Goober\G_FoggerPoison.mdx
